SMIRKS,Source type,Sink type,Ref
CC1=CC=C(C=C1)[OH:10].C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3>>CC1=CC=C(C=C1)[OH+:10][C:20](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4 10=20,O phenol,C+ carbenium,"Schorigin; Makarow-Semljanski[Chemische Berichte, 1928, vol. 61, p. 2520]"
C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10]>>CC1(C)C[C:20](C)(C)[OH+:10]C2=C1C=C(C=C2)Br 10=20,O phenol,C+ carbenium,"Vasudevan; Jayasree, Johnson; Alan T., Huang; Dehua, Chandraratna; Roshantha A. Allergan Sales, Inc.US6252090, 2001, B1"
N#N.CC(C)=[O:10].[CH2+:20]C1=CC=CC=C1>>CC([CH3:1])=[O+:10][CH2:20]C2=CC=CC=C2.N#N 10=20,O=C ketone,C+ carbenium,"Fenhong Song, Ron W. Darbeau, Emil H. White J. Org. Chem. 2000, 65, 6, 1825_1829"
C1C[O:10]C1.C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2>>C1C[O+:10](C1)[CH:20](C2=CC=CC=C2)C3=CC=CC=C3 10=20,O ether,C+ carbenium,"Kirmse, Wolfgang; Lelgemann, Rudolf; Friedrich, Klaus [Chemische Berichte, 1991, vol. 124, # 8, p. 1853 - 1863]"
CC1=CCC(CC1)[C+:20](C)C.CC1(C2CC1C3(C(C2)[O:10]3)C)C>>CC1=CCC(CC1)[C:20](C)(C)[O+:10]2C3C2(C4CC(C3)C4(C)C)C 10=20,O ether,C+ carbenium,"E. R. Ruckel , R. T. Wojcik & H. G. Arlt Jr. (1976) Cationic Polymerization of _-Pinene Oxide and _-Pinene Oxide by a Unique Oxonium lon-Carbenium Ion Sequence, Journal ofMacromolecular ScienceãChemistry, 10:7, 1371-1390,"
C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3>>C1CC2CC[C:20]3(CCC1[O+:10]23)C4=CC=CC=C4 10=20,O ether,C+ carbenium,"Suzuki, Hideyuki; Muratake, Hideaki[Chemical and Pharmaceutical Bulletin, 2014, vol. 62, # 9, p. 921 - 926"
CC(OC(C)(C)C1=CC=CC=C1)=[O:10].[CH2+:20]C2=CC=CC=C2>>CC(OC(C)(C)C3=CC=CC=C3)=[O+:10][CH2:20]C4=CC=CC=C4 10=20,O=C ester,C+ carbenium,"Hallensleben, M. L.; Môller, K. Polymer Bull. 1978, 1, 199-204"
CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43>>CCN(CC)C1=[O+:10][C:20]2(CCC3=CC=CC=C32)C4=C1C5=C(C=CC=C5)C=C4 10=20,O=C amide,C+ carbenium,"Harvey; Cortez; Sugiyama; Ito; Sawyer; DiGiovanni J. Med. Chem. 1988, vol. 31, # 1, p. 154 - 159]"
CC1=CC=C(C=C1)[OH:10].C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3>>CC1=CC=C(C=C1)[OH+:10][C:20](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4 10=21,O=C carboxylic acid,C+ carbenium,"Pawar, Govind Goroba; Singh, Gaurav; Tiwari, Virendra Kumar; Kapur, Manmohan Advanced Synthesis and Catalysis, 2013, vol. 355, # 11-12, p. 2185 - 2190"
C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10]>>CC1(C)C[C:20](C)(C)[OH+:10]C2=C1C=C(C=C2)Br 10=21,O=C carboxylic acid,C+ carbenium,"Toke, Laszlo; Hell, Zoltan; Szabo, Gabor T.; Toth, Gabor; Bihari, Maria; Rockenbauer, Antal Tetrahedron, 1993, vol. 49, # 23, p. 5133 - 5146]"
N#N.CC(C)=[O:10].[CH2+:20]C1=CC=CC=C1>>CC([CH3:1])=[O+:10][CH2:20]C2=CC=CC=C2.N#N 10=21,O=C carboxylic acid,C+ carbenium,"Roger; Ritchie Biochemische Zeitschrift 1932, 253, 239,253"
C1C[O:10]C1.C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2>>C1C[O+:10](C1)[CH:20](C2=CC=CC=C2)C3=CC=CC=C3 10=21,O=C carboxylic acid,C+ carbenium,"Dawar, Pankaj; Bhagavan Raju; Ramakrishna, Ramesha A. [Tetrahedron Letters, 2011, vol. 52, # 33, p. 4262 - 4265]"
CC1=CCC(CC1)[C+:20](C)C.CC1(C2CC1C3(C(C2)[O:10]3)C)C>>CC1=CCC(CC1)[C:20](C)(C)[O+:10]2C3C2(C4CC(C3)C4(C)C)C 10=21,N#C nitrile,C+ carbenium,"G. C. Gullickson, D. E. Lewis, Synthesis, 2003, 681-684."
C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3>>C1CC2CC[C:20]3(CCC1[O+:10]23)C4=CC=CC=C4 10=21,N#C nitrile,C+ carbenium,"Jean C. Baum, Jacqueline E. Milne*, Jerry A. Murry, and Oliver R. Thiel J. Org. Chem. 2009, 74, 5, 2207_2209"
CC(OC(C)(C)C1=CC=CC=C1)=[O:10].[CH2+:20]C2=CC=CC=C2>>CC(OC(C)(C)C3=CC=CC=C3)=[O+:10][CH2:20]C4=CC=CC=C4 10=21,N#C nitrile,C+ carbenium,"Y. Hanzawa , Y. Kasashima , K. Tomono , T. Mino , M. Sakamoto and T. Fujita , J. Oleo Sci., 2012, 61 , 715 ã721"
CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43>>CCN(CC)C1=[O+:10][C:20]2(CCC3=CC=CC=C32)C4=C1C5=C(C=CC=C5)C=C4 10=21,CN2 diazo,C=O+ oxacarbenium,"W.T Tai, E.W Warnhoff Can. J. Chem., 42 (1964), p. 1333"
CC1=CC=C(C=C1)[OH:10].C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3>>CC1=CC=C(C=C1)[OH+:10][C:20](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4 10=22,CN2 diazo,C=O+ oxacarbenium,"Hunan Kerui Biopharmaceuticals Co., Ltd.; Hu, Aiguo; Gan, Hongxing; Zuo, Qianjin; Xie, LaibinCN106380385, 2017, A"
C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10]>>CC1(C)C[C:20](C)(C)[OH+:10]C2=C1C=C(C=C2)Br 10=22,CN2 diazo,C=O+ oxacarbenium,"Katsuhima, Takeo; Yamaguchi, Ryohei; Kawanisi, Mituyosi[Bulletin of the Chemical Society of Japan, 1982, vol. 55, # 10, p. 3245 - 3247]"
