name,real_name,smiles,prod_smiles,MCA*,MCA*.1,S(N)¥N,s(N),N,solvent,M+,Other Condn
mca1,1-Cyano-1-phenylethan-1-ide,N#C[C-](C)C1=CC=CC=C1,N#CC(C)(C)C1=CC=CC=C1,556.9351019,,16.791,0.58,28.95,DMSO,K+/P4t-Bu,1 equiv P4t-BuH+;.05 equiv P4t-Bu or 1 equiv t-BuOH and .05 equiv kOtBu
mca2,2-Ethoxy-2-oxo-1-phenylethan-1-ide,[O-]/C(OCC)=C\C1=CC=CC=C1,O=C(OCC)C(C)C1=CC=CC=C1,565.514219,,15.6978,0.57,27.54,DMSO,K+,1 equiv of t-BuOH; .03 equiv of tBOK
mca3,Phenylacetone anion,[O-]/C(C)=C\C1=CC=CC=C1,O=C(C)C(C)C1=CC=CC=C1,547.3335173,,14.994,0.6,24.99,DMSO,K+,1 equiv of t-BuOH; .05 equiv of tBOK
mca4,(Benzylsulfonyl)benzene anion,O=S([CH-]C1=CC=CC=C1)(C2=CC=CC=C2)=O,O=S(C(C)C1=CC=CC=C1)(C2=CC=CC=C2)=O,577.1408758,,14.4312,0.56,25.77,DMSO,K+,1 equiv of t-BuOH; .06 equiv of tBOK
mca5,Phenolate,[O-]C1=CC=CC=C1,COC1=CC=CC=C1,,440.7184977,14.1006,0.71,19.86,DMSO,K+,
mca6,Thioacetate Anion,CC([S-])=O,CC(SC)=O,,468.2832956,13.356,0.63,21.2,MeCN,K+,
mca7,Nitroethane,[O-]/[N+]([O-])=C\C,CC([N+]([O-])=O)C,543.6251081,,13.3548,0.62,21.54,DMSO,Bu4N+/P2 tBu,
mca8,O-Ethyl Dithiocarbonate,[S-]C(OCC)=S,S=C(SC)OCC,,449.3679855,13.317,0.69,19.3,MeCN,K+,
mca9,"1,3-Oxazolidin-2-one anion",O=C1[N-]CCO1,O=C1N(C)CCO1,536.9494547,,13.216,0.59,22.4,DMSO,K+,
mca10,Ethyl Alpha Methylsulfinylacetate,O=S(C)/C=C([O-])/OCC,CC(S(C)=O)C(OCC)=O,542.0439272,,13.1904,0.64,20.61,DMSO,K+,1 equiv of t-BuOH; .05 equiv of tBOK
mca11,Ethyl Cyanoacetate Anion,[O-]/C(OCC)=C\C#N,CC(C#N)C(OCC)=O,499.4754578,,13.1454,0.67,19.62,DMSO,K+,1 equiv 18-crown6 (+ t-BuOH?)
mca12,Diethyl Malonate,O=C(OCC)/C=C(OCC)\[O-],CC(C(OCC)=O)C(OCC)=O,523.4010792,,13.143,0.65,20.22,DMSO,K+,1 equiv 18-crown6 (+ t-BuOH?)
mca13,Ethyl Acetylacetate,[O-]/C(OCC)=C\C(C)=O,CC(C(C)C(OCC)=O)=O,512.9136453,,12.9858,0.69,18.82,DMSO,K+,
mca14,Malononitrile,[N-]=C=CC#N,N#CC(C#N)C,480.9409699,,12.9712,0.67,19.36,DMSO,K+,
mca15,Acetylacetone Anion,CC([CH-]C(C)=O)=O,O=C(C)C(C)C(C)=O,505.4512064,,12.8772,0.73,17.64,DMSO,K+,t-BuOH present?
mca16,Acetate,O=C(C)[O-],O=C(C)OC,,436.8893245,12.675,0.75,16.9,MeCN,Bu4N+,
mca17,"N,N-Dimethylbarbiturate",O=C1N(C)C(N(C)C([O-])=C1)=O,O=C1N(C)C(N(C)C(C1C)=O)=O,475.6032367,,12.5784,0.72,17.47,DMSO,K+,
mca18,Nitromethane,C=[N+]([O-])[O-],O=[N+](CC)[O-],544.8229247,,12.426,0.6,20.71,DMSO,,
mca19,Diethyl Cyanomethylphosphonate,O=P(OCC)([CH-]C#N)OCC,O=P(OCC)(C(C)C#N)OCC,516.54592,,12.2562,0.66,18.57,DMSO,K+,t-BuOH + 18-crown-6
mca20,Azide,[N-]=[N+]=[N-],[N-]=[N+]=NC,,431.7983867,12.095,0.59,20.5,DMSO,Na+,
mca21,Piperidine,C1CCCCN1,C[NH+]1CCCCC1,475.9186412,,11.798,0.68,17.35,MeCN,,
mca22,DBN,N12C(CCC2)=NCCC1,C[N+]1=C2N(CCC1)CCC2,502.0495141,,11.78,0.76,15.5,DCM,,
mca23,4-Pyridone Anion (O alkylation),[O-]C1=CC=NC=C1,COC1=CC=NC=C1,,416.7541983,11.7614,0.62,18.97,DMSO,K+,
mca24,Phenyl Sulfinate,O=S(C1=CC=CC=C1)[O-],O=S(C)(C1=CC=CC=C1)=O,488.2732783,,11.76,0.6,19.6,DMSO,Na+,
mca25,Morpholine,C1COCCN1,CN1CCOCC1,461.7772739,,11.581,0.74,15.65,MeCN,,
mca26,"2,3,5,6-Tetrahydro-1H-imidazo[1,2-a]imidazole (TBO)",C12=NCCN1CCN2,C[N+]1=C(NCC2)N2CC1,489.7520878,,11.4076,0.79,14.44,DCM,,
mca27,Cyanide,[C-]#N,CC#N,536.8459908,,11.389,0.7,16.27,MeCN,Bu4N+,
mca28,Diacetamide Anion,CC([N-]C(C)=O)=O,CC(N(C)C(C)=O)=O,495.0882326,,11.235,0.7,16.05,DMSO,K+,
mca29,Pyrrolidine,C1CNCC1,C[NH+]1CCCC1,473.3706933,,11.184,0.6,18.64,MeCN,,
mca30,Bis Sulfone,O=S(C1=C2C=CC=C1)([CH-]S2(=O)=O)=O,O=S(C1=C2C=CC=C1)(C(C)S2(=O)=O)=O,527.5441341,,11.0814,0.69,16.06,DMSO,,
mca31,Thiocyanate (Sulfur alkylation),N#C[S-],N#CSC,,378.1779284,10.764,0.6,17.94,MeCN,Bu4N+,
mca32,Tri n-butylphosphine,CCCCP(CCCC)CCCC,C[P+](CCCC)(CCCC)CCCC,530.3498375,,10.6881,0.69,15.49,DCM,,
mca33,Succinimide Anion,O=C(CC1)[N-]C1=O,O=C(CC1)N(C)C1=O,501.1683103,,10.5798,0.66,16.03,DMSO,Bu4N+,
mca34,Isothiourea,N12CCSC1=NCC2,C[N+]1=C2N(CC1)CCS2,471.3827962,,10.5138,0.81,12.98,DCM,,
mca35,Trimethylamine,CN(C)C,C[N+](C)(C)C,464.9413567,,10.3725,0.45,23.05,MeCN,,
mca36,Chloride,[Cl-],CCl,,362.6945961,10.32,0.6,17.2,MeCN,Bu4N+,
