smiles,name,Delta_G_ts,omega_ground_state,omega_transition_state
[H][C+]([H])C(=O)N([H])N([H])C(=O)C([H])([H])[H],ZINC000002522979,14.4689,1.1041,0.0
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])C(=O)[C+]([H])[H])c([H])c2c1OC([H])([H])C([H])([H])O2,ZINC000009738423,14.2414,0.6547,0.0
[H]c1c([H])c([H])c(N2C(=O)C([H])([H])C([H])([H])C2([H])[H])c(N([H])C(=O)[C+]([H])[H])c1[H],ZINC000009738209,14.4419,0.5436,0.0
[H]c1c([H])c([H])c2c(c1[H])N(C(=O)[C+]([H])[H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H],ZINC000012505027,13.0087,0.641,0.0
[H][C+]([H])C(=O)N1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],ZINC000009738185,17.0809,0.7931,0.0
[H]c1c([H])c(N([H])C(=O)[C+]([H])[H])c([H])c(OC([H])([H])[H])c1Cl,ZINC000009038940,14.1544,0.5258,0.0
[H][C+]([H])C(=O)N([H])c1sc(C(=O)N([H])[H])c(C([H])([H])[H])c1C#N,ZINC000013324270,12.3883,0.5922,0.0
[H][C+]([H])C(=O)N([H])c1sc(C(=O)N([H])[H])c(C([H])([H])[H])c1C#N,ZINC000013324270,12.1681,0.5966,0.0
[H]c1c([H])c(N([H])C(=O)[C+]([H])[H])c([H])c([H])c1C(=O)N([H])[H],ZINC000003183496,15.3619,0.6504,0.0
[H]c1c([H])c(N([H])C(=O)[C+]([H])[H])c([H])c([H])c1C(=O)N([H])[H],ZINC000003183496,15.3617,0.6504,0.0
[H]c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)[C+]([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],ZINC000000161544,13.6426,0.6465,0.0
[H]c1nnc(N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000161063351,13.9502,0.9305,0.0
[H]c1c([H])c([H])c(C([H])([H])N(C(=O)[C+]([H])[H])C2([H])C([H])([H])C([H])([H])S(=O)(=O)C2([H])[H])c([H])c1[H],ZINC000003324524,11.1334,0.5242,0.0
[H]c1c([H])c([H])c(C2([H])C([H])([H])C([H])([H])N(C(=O)[C+]([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],ZINC000034306027,13.9982,0.5686,0.0
[H][C+]([H])C(=O)N([H])C(=O)N1C([H])([H])C([H])([H])C1([H])[H],ZINC000307464891,14.3507,0.869,0.0
[H][C+]([H])C(=O)N([H])N([H])C(=O)C([H])([H])[H],ZINC000002522979,14.4628,1.1041,0.0
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1N([H])C(=O)[C+]([H])[H],ZINC000000127420,13.8453,0.5639,0.0
[H]c1c([H])c(N(C(=O)[C+]([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])c([H])c([H])c1F,ZINC000008855837,12.746,0.4949,0.0
[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000000028344,15.6729,0.8602,0.0
[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000000028344,15.6156,0.8602,0.0
[H][C+]([H])C(=O)N([H])C([H])([H])C(N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H],ZINC000020268526,16.2174,0.5276,0.0
[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000000028344,15.6467,0.8505,0.0
[H]c1c([H])c([H])c(N([H])C(=O)[C+]([H])[H])c(OC([H])([H])[H])c1[H],ZINC000000153382,15.2076,0.5011,0.0
[H]C([H])=C([H])C([H])([H])Oc1c([H])c([H])c([H])c(N([H])C(=O)[C+]([H])[H])c1[H],ZINC000013609032,13.073,0.514,0.0
[H]c1c([H])c([H])c(N([H])C(=O)[C+]([H])[H])c(OC([H])([H])[H])c1[H],ZINC000000153382,15.2076,0.5011,0.0
[H][C+]([H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H],ZINC000035044898,16.5573,0.8523,0.0
[H][C+]([H])C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],ZINC000019735578,13.5484,0.5712,0.0
[H]Oc1c([H])c([H])c(Cl)c([H])c1N([H])C(=O)[C+]([H])[H],ZINC000005010977,14.6577,0.5331,0.0
[H][C+]([H])C(=O)N1C([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C1([H])[H],ZINC000012505084,14.0156,0.9142,0.0
[H]c1c(N([H])C(=O)[C+]([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])c1S(=O)(=O)N([H])[H],ZINC000004205221,15.6164,0.5364,0.0
[H]c1c([H])c([H])c(C([H])(N(C(=O)[C+]([H])[H])C([H])([H])[H])C([H])([H])[H])c([H])c1[H],ZINC000004205434,12.6347,0.6052,0.0
[H]c1c([H])c([H])c(-n2nc(C([H])([H])[H])c([H])c2N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000000126531,14.3687,0.5442,0.0
[H]c1c([H])c([H])c(C([H])([H])N(C(=O)[C+]([H])[H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c1[H],ZINC000008155958,13.5577,0.4938,0.0
[H][C+]([H])C(=O)N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],ZINC000042680260,13.9473,0.5287,0.0
[H][C+]([H])C(=O)N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],ZINC000079419950,13.5632,0.5516,0.0
[H]c1c([H])c([H])c2c(oc3c([H])c(N([H])C(=O)[C+]([H])[H])c([H])c([H])c32)c1[H],ZINC000015109088,14.1277,0.5191,0.0
[H]c1nc([H])c(C([H])([H])N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000013208171,14.7583,0.905,0.0
[H]c1c2c(c([H])c([N+](=O)[O-])c1N([H])C(=O)[C+]([H])[H])OC([H])([H])C([H])([H])C([H])([H])O2,ZINC000012505007,13.9156,0.5238,0.0
[H]OC([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)[C+]([H])[H],ZINC000040438512,13.3344,0.7179,0.0
[H][C+]([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N([H])[H],ZINC000020294492,13.8991,0.9158,0.0
[H]OC(=O)C1([H])N(C(=O)[C+]([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H],ZINC000003886297,13.0161,0.6354,0.0
[H]c1c([H])c([H])c(C2([H])c3c(c4c([H])c([H])c([H])c([H])c4n3[H])C([H])([H])C([H])(C(=O)OC([H])([H])[H])N2C(=O)[C+]([H])[H])c([H])c1[H],ZINC000011692278,13.5649,0.5123,0.0
[H]c1c([H])c([H])c(C2([H])c3c(c4c([H])c([H])c([H])c([H])c4n3[H])C([H])([H])C([H])(C(=O)OC([H])([H])[H])N2C(=O)[C+]([H])[H])c([H])c1[H],ZINC000011692278,13.5657,0.5133,0.0
[H]Oc1nc(N([H])C(=O)[C+]([H])[H])nc(OC([H])([H])[H])c1[H],ZINC000012778412,13.7931,0.4861,0.0
[H]c1nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1N([H])C(=O)[C+]([H])[H],ZINC000020360384,13.6616,0.5229,0.0
[H]Oc1c([H])c([H])c([N+](=O)[O-])c([H])c1N([H])C(=O)[C+]([H])[H],ZINC000096379393,14.4601,0.5244,0.0
[H]c1c([H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1N([H])C(=O)[C+]([H])[H],ZINC000000339151,14.9806,0.5745,0.0
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000000078250,14.9458,0.6858,0.0
[H]c1c([H])c([H])c(S(=O)(=O)N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000003076556,12.3919,0.5841,0.0
[H]c1c([H])c([H])c(S(=O)(=O)N([H])[H])c(N([H])C(=O)[C+]([H])[H])c1[H],ZINC000015776650,14.1985,0.5335,0.0
[H]C1=C(C([H])([H])[H])c2c([H])c([H])c(Cl)c([H])c2N(C(=O)[C+]([H])[H])C1(C([H])([H])[H])C([H])([H])[H],ZINC000223823352,14.3903,0.7228,0.0
[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C+]([H])[H])c([H])c1[H],ZINC000000028344,15.6623,0.847,0.0
