smiles,score,name
CC(C)(C)[CH:1]=[OH+],3.8875124737,baldiELEC1
CCC[C+:1](CC)C=C(C)C,0.1989680546,baldiELEC2
CC[C:1](=O)C,-27.4455245314,baldiELEC3
CCN(C(C)C)[C:1](=O)C,-36.5166479615,baldiELEC4
CC[N+](=[CH:1]Cc1ccccc1)CC,-9.1491232228,baldiELEC5
CCC[N+](=[C:1](C)C)CCC,-13.8851675561,baldiELEC6
CC[C:1](=C[N+](=O)[O-])C,-14.4689428786,baldiELEC7
CCC[C:1](=O)NCC,-34.5644065849,baldiELEC8
CCCN[C:1](=O)c1ccccc1,-34.0768188277,baldiELEC9
CC[C+:1](C)C=CC,1.8554118651,baldiELEC10
CCC[CH:1]=C(CCC)C#N,-24.8984508066,baldiELEC11
CCC(=[CH2:1])C(=O)CC,-19.1485810062196,baldiELEC12
CCC[C:1](=O)N,-33.1623252608,baldiELEC13
CC[C:1](=N)CC,-35.1741403864,baldiELEC14
CC(C)C(=[CH:1]c1ccccc1)[N+](=O)[O-],-12.5106483516,baldiELEC15
CC(C)[CH:1]=CC#N,-23.394397574,baldiELEC16
CCC[CH+:1]C=C,9.5813733845,baldiELEC17
C[CH:1]=[N+](C)C,-8.3769609272,baldiELEC18
CC(C)(C)[C+:1](c1ccccc1)C(C)(C)C,-1.342059792,baldiELEC19
CC(C)(C)[O+]=[CH2:1],6.6148674517,baldiELEC20
CN[C:1](=O)c1ccccc1,-33.0531760503,baldiELEC21
C[C+:1](C)C(C)(C)C,6.7197694305,baldiELEC22
CCN(C)[C:1](=O)C(C)C,-36.9351843742,baldiELEC23
CCCN[C:1](=O)CC,-35.9486370936,baldiELEC24
CCCC(=[C:1](CC)c1ccccc1)[N+](=O)[O-],-15.8247481989,baldiELEC25
CC[CH:1]=CC(=O)c1ccccc1,-18.1060930349,baldiELEC26
CC[C+:1](CC)C(C)C,3.7525933231,baldiELEC27
CCC(CC)[C:1](=O)CC,-28.98290247984051,baldiELEC28
CCCC(=[C:1](c1ccccc1)C(C)C)C#N,-25.8908241322,baldiELEC29
CN[C:1](=O)Cc1ccccc1,-33.807868203401,baldiELEC30
CC[CH:1]=C(C)[N+](=O)[O-],-13.1087308745,baldiELEC31
CC[O+]=[CH:1]C(C)(C)C,2.3238846919,baldiELEC32
CC[CH:1]=[N+](C(C)C)C(C)C,-13.29299096851353,baldiELEC33
CC(=C[CH+:1]c1ccccc1)C,0.5853464684,baldiELEC34
CCC[CH:1]=NCC,-33.8532918179,baldiELEC35
CCC[O+]=[CH2:1],9.1265216019,baldiELEC36
C[C+:1](c1ccccc1)c2ccccc2,3.8241574596,baldiELEC37
C[C:1](=[O+]Cc1ccccc1)C,-0.6979571364,baldiELEC38
C[CH:1]=[N+](CC(C)C)CC(C)C,-11.4620968098,baldiELEC39
C[C+:1](C)Cc1ccccc1,8.8432439415,baldiELEC40
CCC(C)[C:1](=O)OC(C)(C)C,-32.9392528111,baldiELEC41
CCC(CC)[C+:1](C)c1ccccc1,1.9653653692529929,baldiELEC42
CCN(Cc1ccccc1)[C:1](=O)C,-35.1705881059,baldiELEC43
C[C:1](=C(C)[N+](=O)[O-])c1ccccc1,-14.5981932024,baldiELEC44
CC=C[C+:1](C)C,3.0676434966,baldiELEC45
CC(C)N[C:1](=O)c1ccccc1,-33.9989605413,baldiELEC46
CCC[C:1](=[N+](C)C)C,-12.2288772283,baldiELEC47
c1ccc(cc1)C[CH:1]=[NH2+],-5.4842188809,baldiELEC48
CCC[C:1](=O)N(C)CC,-35.091362502,baldiELEC49
CCCN(CCC)[C:1](=O)C,-35.44033548227331,baldiELEC50
C[C+:1](Cc1ccccc1)c2ccccc2,5.4121412488,baldiELEC51
CC[C:1](=CC(=O)CC)C,-22.5489762687,baldiELEC52
CC[CH:1]=CC#N,-21.446711927,baldiELEC53
CCC[C:1](=C(C(C)C)[N+](=O)[O-])C,-16.7074536303,baldiELEC54
C[C:1](=CC(=O)c1ccccc1)C,-20.1752415224,baldiELEC55
CC(C)CO[C:1](=O)C,-29.6192610882,baldiELEC56
CC(C)[O+]=[C:1](C)C,-1.8522454729,baldiELEC57
CCC[C:1](=CC=O)CC,-19.5259385309,baldiELEC58
CCCN([CH:1]=O)C(C)C,-35.76437041207434,baldiELEC59
CC[N+](=[C:1](C)CC(C)C)CC,-16.6068747767,baldiELEC60
CCC[C:1](=O)OCC(C)(C)C,-30.5541597814,baldiELEC61
C[C:1](=C(C)C(=O)C)C,-23.4023082388,baldiELEC62
CCC[C:1](=[NH2+])CC,-11.4072247372,baldiELEC63
CC[N+](=[C:1](C)C(C)C)CC,-12.1389448238,baldiELEC64
CCC(C(C)C)[C+:1](C)c1ccccc1,1.6064649516,baldiELEC65
C[N+](=[CH:1]c1ccccc1)C,-9.1126592889,baldiELEC66
c1ccc(cc1)[CH:1]=O,-23.7150487338,baldiELEC67
CCC[C:1](=C(C)[N+](=O)[O-])CCC,-16.1006779126,baldiELEC68
CCC(C)[C:1](=O)CC,-28.6862340091,baldiELEC69
CCO[C:1](=O)C,-29.2287282838,baldiELEC70
CCCC(=[C:1](C(C)C)C(C)C)[N+](=O)[O-],-19.832959519,baldiELEC71
CC[C:1](=[N+](C)C)CC,-13.569458302928378,baldiELEC72
C[CH:1]=NCc1ccccc1,-32.3902162032,baldiELEC73
CCC[C:1](=O)CC,-29.1067911068,baldiELEC74
CC(C)N=[C:1](C)C,-35.6941834423,baldiELEC75
C[C:1](=N)c1ccccc1,-34.289685038,baldiELEC76
CN=[CH2:1],-31.188730626,baldiELEC77
CCC(C)[C+:1](CC)c1ccccc1,4.9607827054,baldiELEC78
CCC[C:1](=CC=O)c1ccccc1,-20.0015216995,baldiELEC79
CCCN(CC)[C:1](=O)C(C)C,-37.9568153264,baldiELEC80
C[C:1](=N)Cc1ccccc1,-34.284833913,baldiELEC81
C[C:1](=[O+]C)c1ccccc1,-2.348714037,baldiELEC82
C[CH:1]=N,-31.9258033791,baldiELEC83
CC[C:1](=[N+](CC)CC)CC,-14.129328924957813,baldiELEC84
C[C:1](=CC(=O)C)c1ccccc1,-21.8514215269,baldiELEC85
CCC[CH:1]=C[N+](=O)[O-],-12.1671299312,baldiELEC86
CC[C:1](=C(CC)C(=O)C)CC,-25.5029802212,baldiELEC87
CC(C)O[CH:1]=O,-26.859197718229463,baldiELEC88
CCC[C+:1](C)C=CCC,2.1874937817,baldiELEC89
CCCC(=C[CH+:1]CC)C,3.2704647507,baldiELEC90
CCC[C:1](=[O+]C)CC,-1.3010731735,baldiELEC91
CCN(Cc1ccccc1)[CH:1]=O,-34.7000733585,baldiELEC92
CC(C)[C:1](=N)C(C)C,-37.9090274442,baldiELEC93
CCCC=C[C+:1](C)c1ccccc1,0.3719787815,baldiELEC94
CC(C)[C:1](=CC#N)C,-25.4120155006,baldiELEC95
CC[CH:1]=C(C)C(=O)C,-21.5820729072,baldiELEC96
C[C:1](=[O+]C)C(C)(C)C,-2.4929091838,baldiELEC97
CCC[N+](=[C:1](C)C(C)C)CCC,-13.2610848861,baldiELEC98
C[C:1](=[NH2+])C,-9.945041419,baldiELEC99
CCC(C)[C:1](=O)Cc1ccccc1,-27.992803723,baldiELEC100
CCC(C(C)C)[C:1](=O)C(C)C,-34.84012873891158,baldiELEC101
CC[C+:1](CC)C=C(C)C,-0.4393035557,baldiELEC102
CC(C)C[C:1](=O)Cc1ccccc1,-28.391598654,baldiELEC103
C[C:1](=[NH2+])C(C)(C)C,-11.0512694261,baldiELEC104
CCC[C+:1](C(C)C)C(C)C,4.1705741534,baldiELEC105
CCC(C)[C+:1](C)c1ccccc1,4.0213699817,baldiELEC106
CCC[C:1](=N)CCC,-36.5085817632,baldiELEC107
CC(C)CO[C:1](=O)C(C)(C)C,-31.6385903034,baldiELEC108
CCC[C+:1](Cc1ccccc1)c2ccccc2,4.3652508226,baldiELEC109
CC[C+:1](Cc1ccccc1)C(C)C,7.9075660003,baldiELEC110
CCC(C(C)C)[C:1](=O)C(CC)C(C)C,-38.228966420798194,baldiELEC111
CC(C)(C)C[C+:1](c1ccccc1)c2ccccc2,0.917202998,baldiELEC112
CC[C:1](=C(C(C)C)[N+](=O)[O-])CC,-17.0040208719,baldiELEC113
CC(C)(C)C[C:1](=O)C(C)(C)C,-31.5355105601,baldiELEC114
CCC[C+:1](CC(C)C)C(C)C,3.9626174433553865,baldiELEC115
CCC[CH:1]=[O+]C,3.3486754492303605,baldiELEC116
CCN=[C:1](C)C(C)C,-38.1602789303,baldiELEC117
CCN=[CH:1]C,-33.3863237195,baldiELEC118
CC[C+:1](C=CC)c1ccccc1,1.781087913505409,baldiELEC119
CCC(CC)[C+:1](c1ccccc1)C(C)(C)C,-0.6292615048,baldiELEC120
CCC[C:1](=C(CC)[N+](=O)[O-])C,-15.7899982693,baldiELEC121
CCC(C)O[C:1](=O)CC(C)C,-31.8521715734,baldiELEC122
CCC[C:1](=[NH2+])C,-10.1451424617,baldiELEC123
CCCC(=C[C+:1](C)CCC)CC,0.3419743641074522,baldiELEC124
CCC[O+]=[CH:1]C,2.9067920213,baldiELEC125
CCC(CC)O[C:1](=O)CC,-31.0245024644,baldiELEC126
CCC[CH:1]=[O+]CC,2.0532043969,baldiELEC127
CC(C)C[N+](=[CH2:1])CC(C)C,-6.6280058474,baldiELEC128
CCC[C:1](=C(CC)C(=O)CC)C,-24.9553362568,baldiELEC129
CCCC(=C[C+:1](CC)CCC)C,-0.6237428477,baldiELEC130
CCC[CH:1]=[N+](CC)CC,-11.3466946555,baldiELEC131
CC[CH:1]=CC(=O)C,-20.5613302793,baldiELEC132
CC(C)C[C:1](=[NH2+])C(C)C,-12.0291475842,baldiELEC133
CCC(C(C)C)[C+:1](c1ccccc1)C(C)(C)C,0.7591874671,baldiELEC134
CCC[C:1](=O)OC(C)(C)C,-32.1812952119,baldiELEC135
