smiles,score,name
CC(C)(C)C[O:1]CC(C)(C)C,-4.977962552,baldiNUC1
c1ccc(cc1)CC(=[O:1])c2ccccc2,-3.474917623,baldiNUC2
CCN(CC)C(=[O:1])C,0.989074244,baldiNUC3
CC(C)[C:1](=C[O-])C(C)C,18.91087074,baldiNUC4
CCCC(=[O:1])C(C)C,-2.76647365,baldiNUC5
CCC(C)C=[O:1],-3.319440499,baldiNUC6
CCC(=[NH:1])CC,11.15351458,baldiNUC7
CC[N:1]=Cc1ccccc1,8.437548393,baldiNUC8
CC(C)C(C(C)C)[NH-:1],30.86603582,baldiNUC9
C[C:1](=[N+]([O-])[O-])C,18.04054071,baldiNUC10
CCC(C)(C)[O:1]Cc1ccccc1,-3.553323364,baldiNUC11
CC(C)(C)C[O:1]C,-3.746084788,baldiNUC12
CCNC(=[O:1])C(C)C,-0.951107764,baldiNUC13
CC(C)C[C:1](=[N+]([O-])[O-])CC(C)C,15.14545511,baldiNUC14
CCC(CC)[C:1](=[N+]([O-])[O-])C,17.3334893,baldiNUC15
CCC(C(C)C)[O:1]CC,-4.915755093,baldiNUC16
CCC[C:1](=[N+]([O-])[O-])CCC,17.51583,baldiNUC17
CCCOC(=[O:1])c1ccccc1,-6.574905518,baldiNUC18
CCC(CC)C(=[O:1])O,-4.095685123,baldiNUC19
CCCN(CC)C(=[O:1])C(C)C,-1.969114264,baldiNUC20
CCCNC(=[O:1])c1ccccc1,-2.236694235,baldiNUC21
C[N:1](C)c1ccccc1,5.672281248,baldiNUC22
CCC(CC)[C:1](=[N+]([O-])[O-])C(C)(C)C,14.25541455,baldiNUC23
CCC[N:1](CC(C)C)C(C)C,8.716963591,baldiNUC24
CCC[CH-:1]CCC,41.51263156,baldiNUC25
CCC(C(C)C)[C:1](=C=[N-])CC(C)(C)C,23.72367046,baldiNUC26
CCC[N:1]=C(CC)CC,10.87449926,baldiNUC27
CC[C-:1](CC)C(C)C,39.35270103,baldiNUC28
CC(=[O:1])NC,0.798586573,baldiNUC29
CCC(CC)[O:1]c1ccccc1,-7.721085104,baldiNUC30
CC=[N:1]C,8.66311339,baldiNUC31
CCC[N:1]=C,9.156857387,baldiNUC32
CCCC(=[NH:1])C(C)C,10.36431158,baldiNUC33
CC[N-:1]Cc1ccccc1,29.20885611,baldiNUC34
CC(C)NC(=[O:1])C,0.851248468,baldiNUC35
CC[C:1](=C(C)[O-])Cc1ccccc1,20.34316718,baldiNUC36
CC(C)[C:1](=C(C)[O-])C(C)C,21.57101783,baldiNUC37
c1ccc(cc1)C[NH-:1],28.79954713,baldiNUC38
CC[N:1]=CC,9.790813701,baldiNUC39
c1ccc(cc1)[CH:1]=C=[N-],19.01607867,baldiNUC40
CC[N:1]=C(C)C,11.65311489,baldiNUC41
CCC[O:1]C(C(C)C)C(C)C,-4.720016541,baldiNUC42
c1ccc(cc1)C[C:1](=[N+]([O-])[O-])c2ccccc2,14.86780673,baldiNUC43
CC[C:1](=C(C)[O-])c1ccccc1,17.84541267,baldiNUC44
CCC(C)C(=[O:1])CC(C)(C)C,-3.413580025,baldiNUC45
CC[N:1](C)c1ccccc1,5.768176754,baldiNUC46
C[CH-:1][N+]#N,10.19263065,baldiNUC47
CCC[N:1](C(C)C)C(C)(C)C,7.561607008,baldiNUC48
CC[N:1]=C,9.194381604,baldiNUC49
CCC(C(C)C)[C-:1](CC)[N+]#N,6.902800498,baldiNUC50
CCC[N:1]=C(C)Cc1ccccc1,10.01132186,baldiNUC51
CCC(C(C)C)[N-:1]C,31.08009883,baldiNUC52
CCCC=[NH:1],10.03999895,baldiNUC53
CCC(CC)C(=[O:1])OCC,-4.413524895,baldiNUC54
CC(C)C(C(C)C)[C-:1](C(C)C)[N+]#N,-1.295553188,baldiNUC55
CC(C)(C)CC(=[O:1])C(C)(C)C,-5.749107419,baldiNUC56
CC(C)[C:1](=[N+]([O-])[O-])C(C)(C)C,16.39758738,baldiNUC57
CCC(C)[O:1]c1ccccc1,-6.675700945,baldiNUC58
CCC[C:1](=[N+]([O-])[O-])C(C)CC,17.05770821,baldiNUC59
CCC(CC)[CH-:1][N+]#N,8.396026701,baldiNUC60
CCC[N:1](CC)C(C)(C)C,8.908754605,baldiNUC61
CC(C)(C)[C-:1](c1ccccc1)[N+]#N,6.021041351,baldiNUC62
CCC[C-:1](CC(C)C)[N+]#N,8.554452254,baldiNUC63
CCC[C-:1](C)c1ccccc1,30.31948936,baldiNUC64
CCC(CC)[C-:1](CC)[N+]#N,7.262611037,baldiNUC65
CCN(C)C(=[O:1])c1ccccc1,-2.105293676,baldiNUC66
CCC(=[O:1])N(C)CC,-1.730043369,baldiNUC67
CC(C)C[C:1](=C=[N-])CC(C)C,23.25143578,baldiNUC68
CCC[CH:1]=C=[N-],26.11464416,baldiNUC69
CCC[C:1](=C=[N-])C(C(C)C)C(C)C,24.61962981,baldiNUC70
CC(C)COC=[O:1],-4.791536055,baldiNUC71
CC(C)[C:1](=C[O-])Cc1ccccc1,20.04318118,baldiNUC72
CCCC(=[O:1])Cc1ccccc1,-3.260573597,baldiNUC73
CCC[O:1]C,-3.280520016,baldiNUC74
CCC(CC)C(=[O:1])OC(C)C,-3.451855302,baldiNUC75
CCOC(=[O:1])c1ccccc1,-5.201954666,baldiNUC76
CCC(C(C)C)C(=[O:1])C(C)C,-3.03476382,baldiNUC77
CCC[C:1](=C(CC)[O-])c1ccccc1,19.21234225,baldiNUC78
CC(C)C[NH:1]C,10.99448188,baldiNUC79
CCCN(C(C)C)C(=[O:1])CC,1.099993988,baldiNUC80
CC[C-:1](C)CC,40.84378431,baldiNUC81
CCC(C(C)C)[C-:1](C(C)(C)C)[N+]#N,6.064884034,baldiNUC82
CC(C)C(=[O:1])NC(C)C,1.018777702,baldiNUC83
CCCOC(=[O:1])Cc1ccccc1,-3.90747513,baldiNUC84
CCCOC(=[O:1])C(CC)CC,-2.872292246,baldiNUC85
CCCN(C)C=[O:1],0.540087019,baldiNUC86
CCC(CC)C(=[O:1])C(CC)CC,-4.714735923,baldiNUC87
CC[N-:1]CC(C)(C)C,29.44638653,baldiNUC88
CC(C)(C)[NH:1]c1ccccc1,6.439445303,baldiNUC89
[N:1]#CC(C(C)C)C(C)C,-1.308352575,baldiNUC90
CC(C)(C)CC(=[O:1])c1ccccc1,-3.486824301,baldiNUC91
CCCC=[N:1]c1ccccc1,6.853087671,baldiNUC92
CCC(=[O:1])Nc1ccccc1,-1.237601802,baldiNUC93
CC(C)C[C:1](=[N+]([O-])[O-])C(C(C)C)C(C)C,13.56090566,baldiNUC94
CCNC=[O:1],-0.023989354,baldiNUC95
C[C-:1](CC(C)(C)C)[N+]#N,7.89222198,baldiNUC96
CCC(CC)[C:1](=C=[N-])C(C(C)C)C(C)C,22.09074035,baldiNUC97
[N:1]#C[H],-2.533107086,baldiNUC98
CCC[C-:1](C(CC)CC)[N+]#N,9.130734102,baldiNUC99
CC(C)[N-:1]c1ccccc1,20.08052658,baldiNUC100
CC(C)(C)[C:1](=C=[N-])C(C)(C)C,24.86998267,baldiNUC101
[C:1](C(C)(C)C)(C#N)=C=[N-],13.27440299,baldiNUC102
CC[N:1](CC)CC,9.89168355,baldiNUC103
CC[C-:1](C(C)C)C(C)C,40.54588821,baldiNUC104
CCC(CC)[C:1](=C=[N-])C(C)(C)C,24.18747736,baldiNUC105
CCC(C)C(=[O:1])O,-4.323153497,baldiNUC106
CC(C)C(C(C)C)C(=[O:1])C(C)C,-2.70880045,baldiNUC107
CCC(CC)[N-:1]C(C)(C)C,29.09723026,baldiNUC108
CC(C)[CH:1]=C(C)[O-],21.95026629,baldiNUC109
CC[C-:1](C)[N+]#N,10.13543538,baldiNUC110
CC(C)(C)C[NH-:1],29.8386103,baldiNUC111
CCC(CC)[C-:1](C(C)C)[N+]#N,6.900840802,baldiNUC112
C=[O:1],-5.835865203,baldiNUC113
CCC(CC)[O:1]C(C)(C)CC,-2.993289056,baldiNUC114
CC(C)[CH-:1]c1ccccc1,32.17593681,baldiNUC115
C[CH-:1]C(C)(C)C,40.69908182,baldiNUC116
CCN(CC)C(=[O:1])c1ccccc1,0.247198237,baldiNUC117
CCC[N:1]=CC,9.796963017,baldiNUC118
CC(C)NC=[O:1],-0.286270472,baldiNUC119
CCC[C-:1](C(C)C)C(C)C,40.7227438,baldiNUC120
CC[N-:1]CC(C)C,30.55826885,baldiNUC121
CCN(CC)C=[O:1],0.464361073,baldiNUC122
CCC[C-:1](CCC)CC(C)C,40.7514729,baldiNUC123
[C:1](CCC)(C#N)=C=[N-],13.26251633,baldiNUC124
CC(C)[CH:1]=C=[N-],25.69332425,baldiNUC125
CCC[N:1](CC)c1ccccc1,5.864072261,baldiNUC126
CC(C)(C)C[C:1](=C=[N-])CC(C)(C)C,24.11019348,baldiNUC127
CC(C)[C:1](=C[O-])c1ccccc1,17.57172017,baldiNUC128
CCC(C(C)C)C(=[O:1])C(C)(C)C,-4.887962955,baldiNUC129
CCC(C)[N-:1]Cc1ccccc1,29.34763392,baldiNUC130
CC[CH:1]=C(C)[O-],21.82006051,baldiNUC131
